cell_id,Cycle,C_rate_mean,C_rate_max,Charge_Ah,Discharge_Ah,Coulombic_Efficiency_%,Cycle_Duration_s,Energy_Throughput_Wh,Temp_Min_C,Temp_Mean_C,Temp_Max_C,Num_points,Delta_Q
Cell_2,23,2.169217347622237,3.6015,0.906,0.898,99.11699779249447,1503.0,6.70519149425,,,,1493,-0.02400000000000002
Cell_2,24,2.130813570938999,3.6015,0.877,0.869,99.0877993158495,1473.0,6.477540378,,,,1459,-0.029000000000000026
Cell_2,25,2.1248909153475566,3.6025,0.874,0.864,98.8558352402746,1470.0,6.466680669166667,,,,1453,-0.0050000000000000044
Cell_2,26,2.082723628691983,3.6025,0.837,0.825,98.56630824372759,1432.0,6.181711379722222,,,,1422,-0.039000000000000035
Cell_2,27,2.0797953422724063,3.6025,0.83,0.822,99.03614457831326,1427.0,6.137528216888889,,,,1417,-0.0030000000000000027
Cell_2,28,2.068449892627058,3.6025,0.811,0.803,99.01356350184956,1408.0,5.986623371277778,,,,1397,-0.018999999999999906
Cell_2,29,2.0487218614718614,3.6025,0.796,0.784,98.49246231155779,1390.0,5.869798093277778,,,,1386,-0.019000000000000017
Cell_2,30,2.0234985185185184,3.6025,0.771,0.766,99.3514915693904,1370.0,5.7089175273888895,,,,1350,-0.018000000000000016
Cell_2,31,2.005184249628529,3.6005,0.759,0.751,98.9459815546772,1355.0,5.603703193444444,,,,1346,-0.015000000000000013
Cell_2,32,1.9854422641509433,3.6025,0.743,0.735,98.92328398384926,1340.0,5.485660954944445,,,,1325,-0.016000000000000014
Cell_2,33,1.9691496598639455,3.6005,0.729,0.722,99.039780521262,1326.0,5.400665032361111,,,,1323,-0.013000000000000012
Cell_2,34,1.947643348623853,3.6005,0.713,0.707,99.15848527349227,1310.0,5.2659620732777785,,,,1308,-0.015000000000000013
Cell_2,35,1.9458547008547005,3.6005,0.702,0.693,98.71794871794872,1298.0,5.185474605416667,,,,1287,-0.014000000000000012
Cell_2,36,1.9217846515270163,3.6025,0.685,0.68,99.27007299270073,1283.0,5.0673038278055555,,,,1277,-0.0129999999999999
Cell_2,37,1.898290423861852,3.6025,0.675,0.668,98.96296296296296,1272.0,4.9861086332777775,,,,1274,-0.01200000000000001
Cell_2,38,1.8812138289368503,3.6025,0.657,0.653,99.39117199391173,1256.0,4.8708302383055555,,,,1251,-0.015000000000000013
Cell_2,39,1.8588502824858757,3.6025,0.644,0.636,98.75776397515527,1241.0,4.752799170833333,,,,1239,-0.017000000000000015
Cell_2,40,1.827290269828291,3.6025,0.63,0.623,98.88888888888889,1227.0,4.649608215555555,,,,1223,-0.013000000000000012
Cell_2,41,1.8096509591326104,3.6025,0.608,0.605,99.50657894736842,1207.0,4.482842591444444,,,,1199,-0.018000000000000016
Cell_2,42,1.8156572614107886,3.6025,0.608,0.604,99.3421052631579,1207.0,4.49942275275,,,,1205,-0.0010000000000000009
Cell_2,43,1.7855320675105482,3.6025,0.597,0.59,98.82747068676717,1194.0,4.38699055875,,,,1185,-0.014000000000000012
Cell_2,44,1.765832908163265,3.6025,0.582,0.575,98.79725085910653,1179.0,4.299682725555556,,,,1176,-0.015000000000000013
Cell_2,45,1.7326158484065461,3.6025,0.564,0.561,99.468085106383,1163.0,4.164010602833333,,,,1161,-0.013999999999999901
Cell_2,46,1.7385923209663503,3.6025,0.563,0.559,99.28952042628777,1161.0,4.157017322,,,,1159,-0.0020000000000000018
Cell_2,47,1.7078678010471204,3.6025,0.546,0.541,99.08424908424908,1145.0,4.035760896999999,,,,1146,-0.018000000000000016
Cell_2,48,1.71883552055993,3.6025,0.546,0.541,99.08424908424908,1144.0,4.037430487388889,,,,1143,0.0
Cell_2,49,1.708640776699029,3.6025,0.538,0.534,99.25650557620817,1137.0,3.9696907574999996,,,,1133,-0.007000000000000006
Cell_2,50,1.6857,3.6025,0.529,0.523,98.86578449905483,1126.0,3.8896247751666664,,,,1125,-0.01100000000000001
Cell_2,51,1.660494623655914,3.6025,0.516,0.512,99.2248062015504,1115.0,3.8060389765,,,,1116,-0.01100000000000001
Cell_2,52,1.6253302919708028,3.6025,0.5,0.495,99.0,1098.0,3.6877842739999998,,,,1096,-0.017000000000000015
Cell_2,53,1.622588613406795,3.6025,0.492,0.488,99.1869918699187,1090.0,3.619110445472222,,,,1089,-0.007000000000000006
Cell_2,54,1.6303573381950773,3.6025,0.499,0.495,99.19839679358718,1097.0,3.688676869833333,,,,1097,0.007000000000000006
Cell_2,55,1.6149621421975993,3.6025,0.49,0.487,99.38775510204081,1089.0,3.627967335,,,,1083,-0.008000000000000007
Cell_2,56,1.5884883828996281,3.6025,0.475,0.47,98.94736842105263,1073.0,3.500233587166666,,,,1076,-0.017000000000000015
Cell_2,57,1.5809239738805967,3.6005,0.475,0.469,98.73684210526315,1072.0,3.489418818638889,,,,1072,-0.0010000000000000009
Cell_2,58,1.56884604519774,3.6025,0.464,0.46,99.13793103448276,1063.0,3.4128100481388888,,,,1062,-0.008999999999999952
Cell_2,59,1.5675279356060605,3.6025,0.463,0.458,98.92008639308855,1061.0,3.419176443833333,,,,1056,-0.0020000000000000018
Cell_2,60,1.5330329512893979,3.6025,0.452,0.447,98.89380530973452,1049.0,3.3244919279999996,,,,1047,-0.01100000000000001
Cell_2,61,1.5097738669238183,3.6025,0.433,0.431,99.53810623556582,1033.0,3.2097022409999996,,,,1037,-0.016000000000000014
Cell_2,62,1.5082070805043641,3.6025,0.431,0.429,99.53596287703016,1030.0,3.188240863083333,,,,1031,-0.0020000000000000018
Cell_2,63,1.5017754114230395,3.6025,0.431,0.426,98.83990719257541,1029.0,3.1832421460277778,,,,1033,-0.0030000000000000027
Cell_2,64,1.484811827956989,3.6025,0.423,0.422,99.76359338061465,1023.0,3.136562779277778,,,,1023,-0.0040000000000000036
Cell_2,65,1.4690963438735174,3.6025,0.414,0.412,99.51690821256038,1013.0,3.0489924661388885,,,,1012,-0.010000000000000009
Cell_2,66,1.4718172413793107,3.6025,0.414,0.411,99.27536231884058,1013.0,3.0488125629722225,,,,1015,-0.0010000000000000009
Cell_2,67,1.464634158415841,3.6025,0.412,0.409,99.27184466019418,1011.0,3.039511714944444,,,,1010,-0.0020000000000000018
Cell_2,68,1.4682537313432833,3.6005,0.411,0.406,98.78345498783456,1008.0,3.0127695587499996,,,,1005,-0.002999999999999947
Cell_2,69,1.4382822177822177,3.6025,0.401,0.398,99.25187032418953,1000.0,2.9502653903333336,,,,1001,-0.008000000000000007
